Feature Name: Lot
Value Num: 1055
205,15
262,2
374,3
526,1
009G,6
064A,2
044C,5
005Q,3
009R,5
006H,2
016E,17
007B,56
025F,2
697,2
074A,22
005R,2
430,1
018A,243
003M,8
150,41
020B,83
018J,8
013M,1
157,176
004D,53
022I,1
033A,39
049G,3
216,19
001J,64
146,35
014,4048
027D,7
023A,106
167,26
705,1
245,5
011,4238
276,6
010E,8
973,2
132,78
199,13
027A,80
029C,14
310,3
022T,4
413,3
253,3
381,2
177,23
031D,1
036,1753
017B,59
202,21
378,2
019R,1
055B,5
308,26
021,4090
073C,1
040I,1
009Y,2
280,4
326,3
013D,27
022A,180
488,1
002V,7
048,1126
196,22
248,11
038B,2
001B,460
026F,3
121,61
053,739
003B,173
080,366
340,1
010G,8
407,2
655,1
023E,13
309,4
456,5
022H,7
057A,2
059,728
079,293
010L,1
031H,2
004R,4
176,35
016I,7
009J,7
029A,82
022E,15
039A,35
015E,7
015J,3
390,30
015A,264
097,121
154,25
254,4
008Q,1
008K,5
441,3
448,5
141,36
016D,19
014G,7
417,1
726,2
147,26
006J,5
144,24
300,3
049P,7
007Q,1
720,3
010I,1
372,5
246,6
007H,16
599,2
226,22
016N,2
028F,2
025,3125
076A,4
250,13
002P,10
018G,5
024A,124
043D,1
022C,25
009S,1
009D,33
220,16
028H,4
013K,1
503,10
552,1
003S,1
287,1
003E,30
014M,2
187,13
036A,57
065A,20
014E,9
607,2
005C,87
003F,20
024D,5
696,4
012C,38
445,1
004I,10
009E,17
148,24
049F,4
003D,50
047A,36
369,2
066A,1
129,37
017C,23
001L,45
042C,1
058A,5
495,3
046C,1
358,1
716,1
009N,2
428,3
037A,31
091,281
032A,61
054A,11
321,8
013E,8
049C,1
557,1
002,5183
252,6
062,936
020G,3
031C,2
429,1
009H,2
040,1793
003,5042
307,12
020A,207
006F,15
186,20
034V,2
019P,1
018X,1
582,1
569,1
012G,4
217,20
046,1160
001S,11
005J,28
008D,27
028A,76
279,11
050A,1
040D,3
143,25
304,2
009V,1
003H,13
051,1022
348,2
537,1
149,25
086,191
191,13
043C,7
031K,2
034,2121
352,2
018I,3
493,1
007C,48
056C,2
188,17
105,148
293,1
322,23
260,3
152,25
061C,1
036K,2
092,165
004,4384
231,23
185,14
012H,3
006,4835
013,4033
006I,5
089A,3
002O,30
023T,1
415,19
001X,5
536,2
117,103
042D,1
228,17
189,7
649,1
013G,10
450,1
024K,3
036G,4
006O,3
001M,37
221,20
087A,6
023,3390
090,131
234,10
072,340
049L,2
859,5
015G,2
020C,25
405,6
385,11
267,5
155,43
007E,52
009C,62
030E,1
036C,1
015B,60
009O,3
013F,11
017H,1
012,4111
031B,12
011C,39
004M,4
019F,1
350,1
172,38
039C,4
010H,7
035F,1
009M,3
032F,23
008U,1
594,1
101,144
093,174
258,4
380,5
006B,152
198,15
002Q,7
045A,30
002Y,4
049M,1
042A,25
008B,95
114,127
002S,5
122,192
075,236
364,2
312,3
004X,1
003Q,5
068,393
018H,14
180,11
389,1
018D,17
082,174
096,275
005E,16
022L,5
001U,8
006E,23
620,1
005H,13
031A,50
349,3
278,56
032J,2
030C,4
010R,2
072C,1
002R,5
062A,6
014B,104
018,3814
001Q,35
295,2
100,115
036L,1
882,3
328,2
500,11
015F,1
018W,3
007S,6
001V,35
022P,2
052,869
058,634
318,2
003L,10
118,42
028E,1
049,967
124,73
286,3
020D,9
402,4
230,6
010P,1
081,187
037,1819
627,5
041,1658
261,5
008,4773
641,1
156,23
131,54
600,1
614,9
017E,5
024F,9
288,3
297,3
159,26
052A,9
019B,101
003G,27
017F,5
012D,16
055,659
341,2
218,16
020,3901
123,84
0027,3
355,2
608,19
027C,10
001A,821
021B,54
003C,84
324,3
212,19
420,2
200A,3
547,1
054,724
438,4
345,3
165,37
049D,2
337,1
074,256
067A,3
071,390
106,95
644,1
008L,12
007D,28
085,151
847,1
525,4
054D,10
010C,17
018Q,2
119,102
162,44
007R,2
081B,1
175,43
006K,3
047B,2
001C,289
013H,1
17A,1
163,13
499,2
060,516
284,1
031E,1
001D,236
116,89
018F,3
611,23
090B,2
012B,77
313,7
648,4
039B,6
007,5317
359,1
063,653
300A,1
054C,2
002J,55
294,3
858,9
015C,35
327,2
051A,14
043,1437
107,102
014Q,1
001Y,1
016M,4
021C,17
077A,14
034D,1
027,2650
561,9
069B,9
153,31
388,1
164,15
204,11
633,6
024G,2
006C,38
014J,2
241,12
017D,43
725,2
029,2659
001O,33
004B,106
034B,17
424,3
016L,3
233,38
110,127
044,1404
303,2
047C,6
745,2
002W,2
016G,5
034A,53
004K,11
023D,1
015D,29
801,1
138,34
126,44
585,1
237,4
008F,11
377,2
518,1
530,4
017N,2
092A,3
022D,6
024L,2
565,2
568,1
001I,75
331,5
128,40
421,2
192,14
022O,1
006N,1
967,1
482,1
056A,9
016F,7
323,5
019D,15
004T,4
012F,3
219,12
049E,1
065G,7
021D,9
679,1
026C,13
414,2
045B,1
410,3
007M,3
084,187
999,10
009K,2
089,233
151,47
046G,2
005B,88
019,3864
113,146
017J,3
011A,219
533,1
265,3
022J,2
183,116
659,3
069,390
007J,9
041B,3
017G,7
208,14
339,2
024M,2
026D,2
002T,2
018B,96
225,10
040C,6
839,1
022,3479
663,1
005A,236
008E,23
273,19
623,1
011H,1
023B,36
559,6
046D,1
030B,9
035C,2
070,374
820,1
076,387
008X,2
008C,39
005I,17
047,1006
034C,2
338,2
010F,10
000,7
289,4
034S,2
014A,260
270,14
362,1
024C,5
039,1815
170,29
095,251
033D,5
468,1
040B,12
281,1
044B,4
019C,24
002H,24
064,455
022G,7
043F,1
601,1
100A,3
006Q,6
434,1
046B,3
011E,5
394,7
843,2
004L,5
005T,1
142,17
050,975
646,4
032E,7
182,16
002L,13
290,5
041A,22
033B,5
027B,27
040F,1
015H,4
018K,2
084A,2
028B,16
558,1
344,5
014H,2
004G,34
139,41
406,2
053A,12
016,3980
052J,4
037B,16
049J,2
227,6
387,1
311,2
234M,1
066,451
214,5
236,17
012A,194
045,1207
012I,6
004S,1
244,8
330,1
556,1
002U,1
393,1
014D,22
006M,4
014O,2
032C,4
433,2
018E,8
011D,26
021F,14
043E,2
030A,48
195,10
020E,8
003I,14
